,Title,Date,From Airport,To Airport,Stops,Total Duration [Hours],Economy Flex [JOD],Business Plus [JOD],0_takeoff-location,0_takeoff-loc,0_landing-location,0_landing-loc,0_departure-time,0_arrival-time,0_flight-duration [Hours],1_stop-duration [Hours],2_takeoff-location,2_takeoff-loc,2_landing-location,2_landing-loc,2_departure-time,2_arrival-time,2_flight-duration [Hours],Economy Plus [JOD]
48,Amman - San Francisco, Thursday 10 August,Queen Alia (AMM),San Francisco International (SFO),1,21.97,1994.85,2172.05,Queen Alia,AMM,John F. Kennedy International,JFK,12:15,17:05,11.83,3.42,John F. Kennedy International,JFK,San Francisco International,SFO,20:30,00:13,6.72,
49,Amman - San Francisco, Friday 11 August,Queen Alia (AMM),San Francisco International (SFO),1,21.42,1994.85,,Queen Alia,AMM,O Hare International,ORD,11:35,16:10,12.58,4.25,O Hare International,ORD,San Francisco International,SFO,20:25,23:00,4.58,
50,Amman - San Francisco, Friday 11 August,Queen Alia (AMM),San Francisco International (SFO),1,21.97,1994.85,2172.05,Queen Alia,AMM,John F. Kennedy International,JFK,12:15,17:05,11.83,3.42,John F. Kennedy International,JFK,San Francisco International,SFO,20:30,00:13,6.72,
51,Amman - San Francisco, Friday 11 August,Queen Alia (AMM),San Francisco International (SFO),1,38.73,1994.85,,Queen Alia,AMM,O Hare International,ORD,11:35,16:10,12.58,21.6,O Hare International,ORD,San Francisco International,SFO,13:46,16:19,4.55,
52,Amman - San Francisco, Saturday 12 August,Queen Alia (AMM),San Francisco International (SFO),1,21.42,1979.85,,Queen Alia,AMM,O Hare International,ORD,11:35,16:10,12.58,4.25,O Hare International,ORD,San Francisco International,SFO,20:25,23:00,4.58,
53,Amman - San Francisco, Saturday 12 August,Queen Alia (AMM),San Francisco International (SFO),1,21.97,1979.85,2157.05,Queen Alia,AMM,John F. Kennedy International,JFK,12:15,17:05,11.83,3.42,John F. Kennedy International,JFK,San Francisco International,SFO,20:30,00:13,6.72,
54,Amman - San Francisco, Saturday 12 August,Queen Alia (AMM),San Francisco International (SFO),1,24.07,1979.85,2157.05,Queen Alia,AMM,O Hare International,ORD,02:15,06:50,12.58,6.93,O Hare International,ORD,San Francisco International,SFO,13:46,16:19,4.55,
55,Amman - San Francisco, Saturday 12 August,Queen Alia (AMM),San Francisco International (SFO),1,30.75,1979.85,2157.05,Queen Alia,AMM,O Hare International,ORD,02:15,06:50,12.58,13.58,O Hare International,ORD,San Francisco International,SFO,20:25,23:00,4.58,
56,Amman - San Francisco, Saturday 12 August,Queen Alia (AMM),San Francisco International (SFO),1,38.73,1979.85,,Queen Alia,AMM,O Hare International,ORD,11:35,16:10,12.58,21.6,O Hare International,ORD,San Francisco International,SFO,13:46,16:19,4.55,
57,Amman - San Francisco, Sunday 13 August,Queen Alia (AMM),San Francisco International (SFO),1,21.42,1979.85,,Queen Alia,AMM,O Hare International,ORD,11:35,16:10,12.58,4.25,O Hare International,ORD,San Francisco International,SFO,20:25,23:00,4.58,
58,Amman - San Francisco, Sunday 13 August,Queen Alia (AMM),San Francisco International (SFO),1,21.97,1979.85,2157.05,Queen Alia,AMM,John F. Kennedy International,JFK,12:15,17:05,11.83,3.42,John F. Kennedy International,JFK,San Francisco International,SFO,20:30,00:13,6.72,
59,Amman - San Francisco, Sunday 13 August,Queen Alia (AMM),San Francisco International (SFO),1,38.73,1979.85,,Queen Alia,AMM,O Hare International,ORD,11:35,16:10,12.58,21.6,O Hare International,ORD,San Francisco International,SFO,13:46,16:19,4.55,
60,Amman - San Francisco, Monday 14 August,Queen Alia (AMM),San Francisco International (SFO),1,21.42,1979.85,2157.05,Queen Alia,AMM,O Hare International,ORD,11:35,16:10,12.58,4.25,O Hare International,ORD,San Francisco International,SFO,20:25,23:00,4.58,
61,Amman - San Francisco, Monday 14 August,Queen Alia (AMM),San Francisco International (SFO),1,21.97,1979.85,2017.15,Queen Alia,AMM,John F. Kennedy International,JFK,12:15,17:05,11.83,3.42,John F. Kennedy International,JFK,San Francisco International,SFO,20:30,00:13,6.72,
62,Amman - San Francisco, Monday 14 August,Queen Alia (AMM),San Francisco International (SFO),1,24.07,1979.85,,Queen Alia,AMM,O Hare International,ORD,02:15,06:50,12.58,6.93,O Hare International,ORD,San Francisco International,SFO,13:46,16:19,4.55,
63,Amman - San Francisco, Monday 14 August,Queen Alia (AMM),San Francisco International (SFO),1,30.75,1979.85,,Queen Alia,AMM,O Hare International,ORD,02:15,06:50,12.58,13.58,O Hare International,ORD,San Francisco International,SFO,20:25,23:00,4.58,
64,Amman - San Francisco, Tuesday 15 August,Queen Alia (AMM),San Francisco International (SFO),1,21.57,1979.85,2157.05,Queen Alia,AMM,O Hare International,ORD,11:35,16:10,12.58,4.3,O Hare International,ORD,San Francisco International,SFO,20:28,23:09,4.68,
